id,class_id,chinese,pinyin,toneless,english,length,source
1,1,吃饭,chīfàn,chifan,to eat,2,Class
2,1,一份,yī fèn,yi fen,measure word for portions,2,Class
3,1,一顿,yī dùn,yi dun,measure word for periods of time,2,Class
4,1,西红柿,xīhóngshì,xihongshi,tomato,3,Class
5,1,炒,chǎo,chao,fry / sauté,1,Class
6,1,鸡蛋,jīdàn,jidan,chicken egg,2,Class
7,1,饺子,jiǎozi,jiaozi,dumpling,2,Class
8,1,繁忙,fánmáng,fanmang,busy,2,Class
9,1,今天,jīntiān,jintian,today,2,Class
10,1,休息,xiūxí,xiuxi,to rest,2,Class
11,1,等候,děnghòu,denghou,to wait,2,Class
12,1,准备,zhǔnbèi,zhunbei,ready,2,Class
13,1,一共,yīgòng,yigong,in total,2,Class
14,1,多少钱,duōshǎo qián,duoshao qian,how much does it cost,3,Class
15,1,买单,mǎidān,maidan,bill,2,Class
16,1,元,yuán,yuan,yuan (Chinese currency),1,Class
17,1,好的,hǎo de,hao de,OK,2,Class
18,1,谢谢,xièxiè,xiexie,thank you,2,Class
19,1,不客气,bù kèqì,bu keqi,you are welcome,3,Class
20,1,友好服务,yǒuhǎo fúwù,youhao fuwu,friendly welcoming service,4,Class
21,2,下雨,xià yǔ,xia yu,rain,2,Class
22,2,雨伞,yǔsǎn,yusan,umbrella,2,Class
23,2,款式,kuǎnshì,kuanshi,style,2,Class
24,2,多少,duōshǎo,duoshao,how many,2,Class
25,2,欢迎光临,huānyíng guānglín,huanying guanglin,welcome,4,Class
26,2,玫瑰,méiguī,meigui,rose,2,Class
27,2,百合,bǎihé,baihe,lily,2,Class
28,2,洗手间,xǐshǒujiān,xishoujian,restroom,3,Class
29,2,打扰一下,dǎrǎo yīxià,darao yixia,may I bother you,4,Class
30,2,请问,qǐngwèn,qingwen,excuse me,2,Class
31,2,哪里,nǎlǐ,nali,where,2,Class
32,2,这里,zhèlǐ,zheli,here,2,Class
33,2,那里,nàlǐ,nali,there,2,Class
34,3,土,tǔ,tu,earth,1,Class
35,3,尘土,chéntǔ,chentu,dust,2,Class
36,3,土豆,tǔdòu,tudou,potato,2,Class
37,3,地,de,de,earth/ground,1,Class
38,3,土地,tǔdì,tudi,ground,2,Class
39,3,种地,zhòng dì,zhong di,to plant crops,2,Class
40,3,地点,dìdiǎn,didian,location,2,Class
41,3,地址,dìzhǐ,dizhi,address,2,Class
42,3,地方,dìfāng,difang,place/location,2,Class
43,3,夏天,xiàtiān,xiatian,summer,2,Class
44,4,秋天,qiūtiān,qiutian,autumn,2,Class
45,4,冬天,dōngtiān,dongtian,winter,2,Class
46,4,口,kǒu,kou,mouth,1,Class
47,4,出口,chūkǒu,chukou,exit,2,Class
48,4,入口,rùkǒu,renkou,entrance,2,Class
49,4,门口,ménkǒu,meinkou,doorway,2,Class
50,4,口语,kǒuyǔ,kouyu,spoken language,2,Class
51,4,人,rén,ren,people,1,Class
52,4,人们,rénmen,renmen,people,2,Class
53,4,男人,nánrén,nanren,man,2,Class
54,4,女人,nǚrén,nuren,woman,2,Class
55,4,人才,réncái,rencai,talent,2,Class
56,4,人口,rénkǒu,renkou,population,2,Class
57,4,加入,jiārù,jiaru,join,2,Class
58,4,收入,shōurù,shouru,earn,2,Class
59,5,种子,zhǒngzǐ,zhongzi,seed,2,Class
60,5,人种,rén zhǒng,ren zhong,race,2,Class
61,5,种类,zhǒnglèi,zhonglei,type,2,Class
62,5,种菜,zhòng cài,zhong cai,plant vegetables,2,Class
63,5,种植,zhòngzhí,zhongzhi,plant/grow,2,Class
64,6,进口,Jìnkǒu,jinkou,import/entrance,2,Class
65,6,各种各样,gè zhǒng gè yàng,ge zhong ge yang,all kinds of,4,Class
66,6,吉他,jítā,jita,guitar,2,Class
67,6,遍天下,biàn tiānxià,bian tianxia,all over the world,3,Class
68,6,东,dōng,dong,east,1,Class
69,6,东方,dōngfāng,dongfang,east,2,Class
70,6,东门,dōng mén,dong men,east door/gate,2,Class
71,6,东面,dōng miàn,dong mian,east side,2,Class
72,6,西,xī,xi,west,1,Class
73,6,东西,dōngxī,dongxi,things,2,Class
74,6,距离,jùlí,juli,distance,2,Class
75,6,来往,láiwǎng,laiwang,communicate,2,Class
76,7,北,běi,bei,north,1,Class
77,7,南,nán,nan,south,1,Class
78,7,极,jí,ji,pole,1,Class
79,7,京,jīng,jing,capital,1,Class
80,7,瓜,guā,gua,melon,1,Class
81,7,风,fēng,feng,wind,1,Class
82,7,走遍,zǒu biàn,zou bian,go all over,2,Class
83,8,上,shàng,shang,up,1,Class
84,8,下,xià,xia,down,1,Class
85,8,上午,shàngwǔ,shangwu,morning,2,Class
86,8,下午,xiàwǔ,xiawu,afternoon,2,Class
87,8,上班,shàngbān,shangban,go to work,2,Class
88,8,下班,xiàbān,xiaban,get off work,2,Class
89,8,车,chē,che,car,1,Class
90,8,上车,shàng chē,shang che,get in a vehicle,2,Class
91,8,下车,xià chē,xia che,get off a vehicle,2,Class
92,8,车站,chēzhàn,chezhan,station,2,Class
93,8,上级,shàngjí,shanji,superior,2,Class
